autm_institution,pci_match_name,match_source,autm_norm_key,pci_norm_key,autm_year_min,autm_year_max,autm_rows,pci_year_min,pci_year_max,pci_rows,has_year_overlap
Tulane University,Tulane University,exact_normalized,tulane university,tulane university,1991,2022,30,1985.0,2025.0,41.0,True
University of Akron,University of Akron,exact_normalized,university of akron,university of akron,1993,2021,29,1996.0,2025.0,30.0,True
University of Alabama in Birmingham (UAB),University of Alabama in Birmingham (UAB),exact_normalized,university of alabama in birmingham,university of alabama in birmingham,1996,2001,6,1980.0,2025.0,46.0,True
University of Alabama in Huntsville (UAH),University of Alabama in Huntsville (UAH),exact_normalized,university of alabama in huntsville,university of alabama in huntsville,2005,2023,15,1991.0,2025.0,35.0,True
University of Arizona,University of Arizona,exact_normalized,university of arizona,university of arizona,1991,2023,33,1983.0,2025.0,43.0,True
University of California System,University of California System,exact_normalized,university of california system,university of california system,1992,2021,27,1985.0,2025.0,41.0,True
University of Central Florida,University of Central Florida,exact_normalized,university of central florida,university of central florida,1991,2023,29,2013.0,2025.0,13.0,True
University of Chicago,University of Chicago,exact_normalized,university of chicago,university of chicago,1994,2023,28,2002.0,2025.0,24.0,True
University of Cincinnati,University of Cincinnati,exact_normalized,university of cincinnati,university of cincinnati,1991,2023,33,2009.0,2025.0,17.0,True
University of Colorado,University of Colorado,exact_normalized,university of colorado,university of colorado,1991,2022,27,2011.0,2025.0,15.0,True
University of Connecticut,University of Connecticut,exact_normalized,university of connecticut,university of connecticut,1996,2023,28,2015.0,2025.0,11.0,True
University of Dayton,University of Dayton,exact_normalized,university of dayton,university of dayton,1991,2018,27,1996.0,2025.0,30.0,True
University of Delaware,University of Delaware,exact_normalized,university of delaware,university of delaware,1993,2023,27,1993.0,2025.0,33.0,True
University of Denver,University of Denver,exact_normalized,university of denver,university of denver,1993,2020,14,2008.0,2025.0,18.0,True
University of Florida,University of Florida,exact_normalized,university of florida,university of florida,1991,2023,32,2013.0,2025.0,13.0,True
University of Georgia,University of Georgia,exact_normalized,university of georgia,university of georgia,1993,2023,30,1982.0,2025.0,44.0,True
University of Hawaii,University of Hawaii,exact_normalized,university of hawaii,university of hawaii,1993,2023,30,1985.0,2025.0,41.0,True
University of Houston,University of Houston,exact_normalized,university of houston,university of houston,1996,2023,27,1997.0,2025.0,29.0,True
University of Idaho,University of Idaho,exact_normalized,university of idaho,university of idaho,2008,2023,15,1998.0,2025.0,28.0,True
University of Illinois At Chicago,University of Illinois At Chicago,exact_normalized,university of illinois at chicago,university of illinois at chicago,1991,2023,9,2017.0,2025.0,9.0,True
University of Iowa,University of Iowa,exact_normalized,university of iowa,university of iowa,1993,2023,31,2015.0,2025.0,11.0,True
University of Kansas,University of Kansas,exact_normalized,university of kansas,university of kansas,1993,2023,31,1998.0,2025.0,28.0,True
University of Kentucky,University of Kentucky,exact_normalized,university of kentucky,university of kentucky,1993,2023,30,1988.0,2025.0,38.0,True
University of Louisville,University of Louisville,exact_normalized,university of louisville,university of louisville,2016,2018,3,1998.0,2025.0,28.0,True
University of Maine,University of Maine,exact_normalized,university of maine,university of maine,1991,2023,7,2002.0,2025.0,24.0,True
University of Maryland College Park,University of Maryland College Park,exact_normalized,university of maryland college park,university of maryland college park,1991,2008,18,2018.0,2025.0,8.0,False
"University of Maryland, Baltimore (UMB)",University of Maryland Baltimore,exact_normalized,university of maryland baltimore,university of maryland baltimore,1991,2008,17,1990.0,2025.0,36.0,True
University of Massachusetts Amherst,University of Massachusetts Amherst,exact_normalized,university of massachusetts amherst,university of massachusetts amherst,1991,2023,6,1997.0,2025.0,29.0,True
University of Miami,University of Miami,exact_normalized,university of miami,university of miami,1991,2023,32,2014.0,2025.0,12.0,True
University of Michigan,University of Michigan,exact_normalized,university of michigan,university of michigan,1991,2023,33,2007.0,2025.0,19.0,True
University of Minnesota,University of Minnesota,exact_normalized,university of minnesota,university of minnesota,1991,2023,33,2010.0,2025.0,16.0,True
University of Missouri System,University of Missouri System,exact_normalized,university of missouri system,university of missouri system,1991,2001,11,1996.0,2025.0,30.0,True
University of Montana,University of Montana,exact_normalized,university of montana,university of montana,1997,2011,8,1999.0,2025.0,27.0,True
University of Nebraska,University of Nebraska,exact_normalized,university of nebraska,university of nebraska,1993,2023,28,2003.0,2025.0,23.0,True
University of New Hampshire,University of New Hampshire,exact_normalized,university of new hampshire,university of new hampshire,1995,2023,28,2007.0,2025.0,19.0,True
University of New Mexico,University of New Mexico,exact_normalized,university of new mexico,university of new mexico,1996,1996,1,1999.0,2025.0,27.0,False
University of New Orleans,University of New Orleans,exact_normalized,university of new orleans,university of new orleans,1993,1999,7,2012.0,2025.0,14.0,False
University of North Dakota,University of North Dakota,exact_normalized,university of north dakota,university of north dakota,2013,2015,3,1992.0,2025.0,34.0,True
University of Oregon,University of Oregon,exact_normalized,university of oregon,university of oregon,1992,2023,32,2015.0,2025.0,11.0,True
University of Pennsylvania,University of Pennsylvania,exact_normalized,university of pennsylvania,university of pennsylvania,1993,2023,30,1993.0,2025.0,33.0,True
University of Pittsburgh,University of Pittsburgh,exact_normalized,university of pittsburgh,university of pittsburgh,1993,2023,31,1978.0,2025.0,48.0,True
University of Rhode Island,University of Rhode Island,exact_normalized,university of rhode island,university of rhode island,1993,2013,18,1986.0,2025.0,40.0,True
University of Rochester,University of Rochester,exact_normalized,university of rochester,university of rochester,1991,2023,32,1997.0,2025.0,29.0,True
University of South Alabama,University of South Alabama,exact_normalized,university of south alabama,university of south alabama,1994,2019,22,1984.0,2025.0,42.0,True
University of South Carolina,University of South Carolina,exact_normalized,university of south carolina,university of south carolina,1994,2023,28,1994.0,2025.0,32.0,True
University of South Florida,University of South Florida,exact_normalized,university of south florida,university of south florida,1991,2023,31,2012.0,2025.0,14.0,True
University of Southern California,University of Southern California,exact_normalized,university of southern california,university of southern california,1991,2023,33,2001.0,2025.0,25.0,True
University of Tennessee,University of Tennessee,exact_normalized,university of tennessee,university of tennessee,2016,2018,3,2003.0,2025.0,23.0,True
University of Texas Medical Branch (Galveston),University of Texas Medical Branch (Galveston),exact_normalized,university of texas medical branch,university of texas medical branch,1993,2008,12,1978.0,2025.0,48.0,True
University of Utah,University of Utah,exact_normalized,university of utah,university of utah,1991,2023,32,1999.0,2025.0,27.0,True
University of Vermont,University of Vermont,exact_normalized,university of vermont,university of vermont,1999,2023,22,2013.0,2025.0,13.0,True
University of Virginia,University of Virginia,exact_normalized,university of virginia,university of virginia,1993,2023,31,1993.0,2025.0,33.0,True
University of Washington,University of Washington,exact_normalized,university of washington,university of washington,1991,2023,32,2003.0,2025.0,23.0,True
Utah State University,Utah State University,exact_normalized,utah state university,utah state university,1998,2023,23,1999.0,2025.0,27.0,True
Vanderbilt University,Vanderbilt University,exact_normalized,vanderbilt university,vanderbilt university,1991,2023,33,2011.0,2025.0,15.0,True
Virginia Tech (Virginia Polytechnic Institute),Virginia Tech,exact_normalized,virginia tech,virginia tech,1993,2023,28,1990.0,2025.0,36.0,True
Wake Forest University,Wake Forest University,exact_normalized,wake forest university,wake forest university,1991,2023,27,1993.0,2025.0,33.0,True
Washington University in St. Louis,Washington University in St. Louis,exact_normalized,washington university in st louis,washington university in st louis,1991,2023,33,2014.0,2025.0,12.0,True
Wayne State University,Wayne State University,exact_normalized,wayne state university,wayne state university,1993,2023,30,1998.0,2025.0,28.0,True
West Virginia University,West Virginia University,exact_normalized,west virginia university,west virginia university,1997,2023,17,1999.0,2025.0,27.0,True
Yale University,Yale University,exact_normalized,yale university,yale university,1991,2023,12,1998.0,2025.0,28.0,True
Miami University (Ohio),Miami University,manual_alias,miami university,miami university,2004,2018,14,2018.0,2025.0,8.0,True
"University of Maryland, Baltimore County (UMBC)",University of Maryland Baltimore County,manual_alias,university of maryland baltimore county,university of maryland baltimore county,1996,2008,13,2002.0,2025.0,24.0,True
University of Massachusetts Medical Center (UMass Chan Medical School),University of Massachusetts Medical Center,manual_alias,university of massachusetts medical center,university of massachusetts medical center,1993,1995,3,1997.0,2025.0,29.0,False
University of Oklahoma (All Campuses),University of Oklahoma,manual_alias,university of oklahoma,university of oklahoma,1999,2023,25,1999.0,2025.0,27.0,True
University of Texas At Austin,University of Texas at Austin,manual_alias,university of texas at austin,university of texas at austin,1991,2023,17,1978.0,2025.0,48.0,True
University of Wisconsin Madison,University of Wisconsin-Madison,manual_alias,university of wisconsin madison,university of wisconsin madison,1991,2022,22,2005.0,2025.0,21.0,True
Virginia Commonwealth University (VCU),Virginia Commonwealth University,manual_alias,virginia commonwealth university,virginia commonwealth university,1997,2023,26,1999.0,2025.0,27.0,True
Washington State University (WSU),Washington State University,manual_alias,washington state university,washington state university,1991,2023,31,2014.0,2025.0,12.0,True
Cornell University,,no_match,cornell university,,1992,2023,30,,,,False
Massachusetts Inst. of Technology (MIT),,no_match,massachusetts inst of technology,,1991,2023,33,,,,False
Northwestern University,,no_match,northwestern university,,1991,2023,33,,,,False
New York University Medical Center,New York University,reviewed_alias,new york university medical center,new york university,1993,2023,31,1983.0,2025.0,43.0,True
University of Arkansas Fayetteville,University of Arkansas,reviewed_alias,university of arkansas fayetteville,university of arkansas,1991,2023,32,1945.0,2025.0,81.0,True
University of Illinois at Urbana-Champaign,University of Illinois Urbana Champaign,reviewed_alias,university of illinois at urbana champaign,university of illinois urbana champaign,1991,2023,32,2006.0,2025.0,20.0,True
University of North Carolina at Chapel Hill,University of North Carolina Chapel Hill,reviewed_alias,university of north carolina at chapel hill,university of north carolina chapel hill,1991,2023,33,2013.0,2025.0,13.0,True
University of Texas Health Science Center Houston,University of Texas Houston Hlth. Sci. Ctr_,reviewed_alias,university of texas health science center houston,university of texas houston hlth sci ctr,1993,2023,10,1978.0,2025.0,48.0,True
University of Texas Health Science Center at San Antonio,University of Texas Hlth Sci Ctr San Antonio,reviewed_alias,university of texas health science center at san antonio,university of texas hlth sci ctr san antonio,1991,2008,17,1978.0,2025.0,48.0,True
University of Texas Southwestern Medical Center,University of Texas Southwestern Med. Ctr_,reviewed_alias,university of texas southwestern medical center,university of texas southwestern med ctr,1991,2023,20,1978.0,2025.0,48.0,True
