institution_id,institution_standardized,year,paper1_key_match_verified,paper1_commit,paper2_base_commit,pci,pci_median,tone_index,clarity_index,legal_load_index,Source_Year,Is_Carried_Forward,n_sentences,n_words,new_patent_apps,total_patent_apps,patents_issued,disclosures,licenses,startups,license_income,research_exp,licensing_ftes,royalty_share,tlo_age,private,carnegie_r1,med_school,land_grant,ln_new_patent_apps,ln_total_patent_apps,ln_patents_issued,ln_disclosures,ln_licenses,ln_startups,ln_license_income,conv_rate,pci_l1,pci_l2,pci_l3,pci_l4,pci_l5,ln_research_exp_l1,ln_licensing_ftes_l1,royalty_share_l1
71465,Emory University,2022,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.4573827163496093,0.498306182,-0.256124967148769,0.0721797968476282,-0.1380628475651021,2015.0,1.0,128.0,3956.0,92,200.0,45.0,212,29.0,5.0,279210490,791.631531,9.0,46.14,37,1,1,1,0,4.532599493153256,5.303304908059076,3.828641396489095,5.3612921657094255,3.4011973816621555,1.791759469228055,19.44747650336146,-0.8286926725561692,0.4573827163496093,0.4573827163496093,0.4573827163496093,,,6.586872421674036,2.302585092994046,46.14
71465,Emory University,2023,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.4573827163496093,0.498306182,-0.256124967148769,0.0721797968476282,-0.1380628475651021,2015.0,1.0,128.0,3956.0,133,210.0,49.0,240,1.0,8.0,108496313,903.509996,9.0,46.14,38,1,1,1,0,4.897839799950911,5.351858133476067,3.912023005428146,5.484796933490655,0.6931471805599453,2.1972245773362196,18.502226758017486,-0.5869571335397437,0.4573827163496093,0.4573827163496093,0.4573827163496093,0.4573827163496093,,6.675358461696074,2.302585092994046,46.14
71496,,1991,False,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,,,,,,,,,,4,4.0,,6,4.0,,50000,11.525696,,45.0,0,0,1,1,0,1.6094379124341003,1.6094379124341003,,1.9459101490553132,1.6094379124341003,,10.819798284210286,-0.33647223662121295,,,,,,,,
71496,,1992,False,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,,,,,,,,,,3,3.0,,5,4.0,,50000,15.172904,1.0,45.0,1,0,1,1,0,1.3862943611198906,1.3862943611198906,,1.791759469228055,1.6094379124341003,,10.819798284210286,-0.4054651081081644,,,,,,2.527782214289312,,45.0
71496,,1994,False,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,,,,,,,,,,1,1.0,,1,,,50000,1.202542,,45.0,3,0,1,1,0,0.6931471805599453,0.6931471805599453,,0.6931471805599453,,,10.819798284210286,0.0,,,,,,,,
71496,,1995,False,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,,,,,,,,,,1,1.0,0.0,7,1.0,1.0,107500,25.0,1.0,45.0,4,0,1,1,0,0.6931471805599453,0.6931471805599453,0.0,2.0794415416798357,0.6931471805599453,0.6931471805599453,11.58525542883217,-1.3862943611198904,,,,,,0.7896121478858824,,45.0
71496,Florida Atlantic University,2001,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3987668154385644,0.483627399,0.2059362969223096,0.2101058277866681,-0.2011191096000789,2001.0,0.0,411.0,13726.0,13,13.0,2.0,13,0.0,0.0,101000,41.484534,1.0,45.0,10,0,1,1,0,2.639057329615259,2.639057329615259,1.0986122886681096,2.639057329615259,0.0,0.0,11.522885696764481,0.0,,,,,,,,
71496,Florida Atlantic University,2002,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3987668154385644,0.483627399,0.2059362969223096,0.2101058277866681,-0.2011191096000789,2001.0,1.0,411.0,13726.0,13,20.0,3.0,29,2.0,1.0,87950,50.052596,1.0,45.0,11,0,1,1,0,2.639057329615259,3.044522437723423,1.3862943611198906,3.4011973816621555,1.0986122886681096,0.6931471805599453,11.384535120197711,-0.7621400520468966,0.3987668154385644,,,,,3.7491401038182044,0.6931471805599453,45.0
71496,Florida Atlantic University,2003,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3987668154385644,0.483627399,0.2059362969223096,0.2101058277866681,-0.2011191096000789,2001.0,1.0,411.0,13726.0,8,13.0,0.0,21,2.0,0.0,121355,51.782594,2.0,45.0,12,0,1,1,0,2.1972245773362196,2.639057329615259,0.0,3.091042453358316,1.0986122886681096,0.0,11.70648365369017,-0.8938178760220965,0.3987668154385644,0.3987668154385644,,,,3.9328563954235287,0.6931471805599453,45.0
71496,Florida Atlantic University,2004,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3987668154385644,0.483627399,0.2059362969223096,0.2101058277866681,-0.2011191096000789,2001.0,1.0,411.0,13726.0,15,26.0,3.0,34,4.0,2.0,71608,48.72116,2.0,45.0,13,0,1,1,0,2.772588722239781,3.295836866004329,1.3862943611198906,3.5553480614894135,1.6094379124341003,1.0986122886681096,11.178976043373387,-0.7827593392496324,0.3987668154385644,0.3987668154385644,0.3987668154385644,,,3.9661814772718036,1.0986122886681096,45.0
71496,Florida Atlantic University,2005,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3987668154385644,0.483627399,0.2059362969223096,0.2101058277866681,-0.2011191096000789,2001.0,1.0,411.0,13726.0,9,20.0,6.0,21,1.0,0.0,94611,50.2022,,45.0,14,0,1,1,0,2.302585092994046,3.044522437723423,1.9459101490553132,3.091042453358316,0.6931471805599453,0.0,11.457539596889493,-0.7884573603642702,0.3987668154385644,0.3987668154385644,0.3987668154385644,0.3987668154385644,,3.906430597022004,1.0986122886681096,45.0
71496,Florida Atlantic University,2006,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3987668154385644,0.483627399,0.2059362969223096,0.2101058277866681,-0.2011191096000789,2001.0,1.0,411.0,13726.0,12,17.0,2.0,26,4.0,1.0,65847,55.791099,2.0,45.0,15,0,1,1,0,2.5649493574615367,2.8903717578961645,1.0986122886681096,3.295836866004329,1.6094379124341003,0.6931471805599453,11.09510433465248,-0.7308875085427924,0.3987668154385644,0.3987668154385644,0.3987668154385644,0.3987668154385644,0.3987668154385644,3.9357824998723316,,45.0
71496,Florida Atlantic University,2007,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3987668154385644,0.483627399,0.2059362969223096,0.2101058277866681,-0.2011191096000789,2001.0,1.0,411.0,13726.0,10,10.0,8.0,35,5.0,2.0,91928,39.8,2.0,45.0,16,0,1,1,0,2.3978952727983707,2.3978952727983707,2.1972245773362196,3.58351893845611,1.791759469228055,1.0986122886681096,11.4287718189568,-1.1856236656577392,0.3987668154385644,0.3987668154385644,0.3987668154385644,0.3987668154385644,0.3987668154385644,4.039379605700685,1.0986122886681096,45.0
71496,Florida Atlantic University,2008,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3987668154385644,0.483627399,0.2059362969223096,0.2101058277866681,-0.2011191096000789,2001.0,1.0,411.0,13726.0,13,13.0,2.0,29,1.0,0.0,198880,43.2491,2.0,45.0,17,0,1,1,0,2.639057329615259,2.639057329615259,1.0986122886681096,3.4011973816621555,0.6931471805599453,0.0,12.20046193488958,-0.7621400520468966,0.3987668154385644,0.3987668154385644,0.3987668154385644,0.3987668154385644,0.3987668154385644,3.708682081410116,1.0986122886681096,45.0
71496,Florida Atlantic University,2010,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3987668154385644,0.483627399,0.2059362969223096,0.2101058277866681,-0.2011191096000789,2001.0,1.0,411.0,13726.0,15,14.0,4.0,25,6.0,1.0,145476,41.605782,2.0,45.0,19,0,1,1,0,2.772588722239781,2.70805020110221,1.6094379124341003,3.258096538021482,1.9459101490553132,0.6931471805599453,11.887773277497045,-0.485507815781701,,0.3987668154385644,0.3987668154385644,0.3987668154385644,0.3987668154385644,,,
71496,Florida Atlantic University,2020,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3875904372003058,0.46212091,-0.0542989555225506,0.2632440155329638,-0.2007867041323023,2020.0,0.0,327.0,11056.0,4,22.0,3.0,24,3.0,1.0,151337,50.167699,1.0,45.0,29,0,1,1,0,1.6094379124341003,3.1354942159291497,1.3862943611198906,3.2188758248682006,1.3862943611198906,0.6931471805599453,11.92727102488433,-1.6094379124341003,,,,,,,,
71496,Florida Atlantic University,2021,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3875904372003058,0.46212091,-0.0542989555225506,0.2632440155329638,-0.2007867041323023,2020.0,1.0,327.0,11056.0,9,20.0,2.0,40,2.0,0.0,108747,55.922262,1.0,45.0,30,0,1,1,0,2.302585092994046,3.044522437723423,1.0986122886681096,3.713572066704308,1.0986122886681096,0.0,11.59678855797722,-1.410986973710262,0.3875904372003058,,,,,3.935108454051377,0.6931471805599453,45.0
