Institution_Year_Key,Institution,Year,Source_Year,Is_Carried_Forward,STATE,Private,Carnegie R1,MEDSCHOOL,Urbanicity (cat),Land-Grant Institution,Stem program,Type,Med,LG,n_sentences,n_words,Mean_Tone_Score,Median_Tone_Score,supportive_share,neutral_share,restrictive_share,supportive_per_1000w,restrictive_per_1000w,sanction_per_1000w,second_person_per_1000w,inclusive_we_per_1000w,obligation_modal_share,mean_sentence_length,long_sentence_share,procedural_share,legalese_per_1000w,iptech_per_1000w,madey2002_per_1000w,roche2011_per_1000w,Tone_Index,Clarity_Index,Legal_Load_Index
Albert Einstein/Yeshiva || 1985,Albert Einstein/Yeshiva,1985,1985.0,0,NY,1.0,0.0,1.0,Urban,0.0,1.0,Private R2,Y,N,49.0,2091.0,0.33043059434183675,0.28108880300000005,0.16326530612244897,0.30612244897959184,0.5306122448979592,3.3476805356288857,17.21664275466284,0.0,0.0,0.0,0.8529411764705882,42.673469387755105,0.5306122448979592,0.1836734693877551,1.4347202295552368,58.8235294117647,0.0,0.9564801530368245,-0.2964829331610327,-0.25026349141556115,1.0311445209106187
SUNY || 2010,SUNY,2010,1988.0,1,NY,0.0,0.0,1.0,,0.0,1.0,Public R2,Y,N,47.0,1805.0,0.4663337900372341,0.497565517,0.2553191489361702,0.40425531914893614,0.3404255319148936,4.43213296398892,22.1606648199446,0.0,0.0,0.0,0.7818181818181819,38.40425531914894,0.6170212765957447,0.2127659574468085,3.3240997229916895,43.767313019390585,0.0,1.6620498614958448,-0.2650404369671178,-0.1541304894926007,1.253991221691425
SUNY || 2011,SUNY,2011,1988.0,1,NY,0.0,0.0,1.0,,0.0,1.0,Public R2,Y,N,47.0,1805.0,0.4663337900372341,0.497565517,0.2553191489361702,0.40425531914893614,0.3404255319148936,4.43213296398892,22.1606648199446,0.0,0.0,0.0,0.7818181818181819,38.40425531914894,0.6170212765957447,0.2127659574468085,3.3240997229916895,43.767313019390585,0.0,1.6620498614958448,-0.2650404369671178,-0.1541304894926007,1.253991221691425
SUNY || 2012,SUNY,2012,1988.0,1,NY,0.0,0.0,1.0,,0.0,1.0,Public R2,Y,N,47.0,1805.0,0.4663337900372341,0.497565517,0.2553191489361702,0.40425531914893614,0.3404255319148936,4.43213296398892,22.1606648199446,0.0,0.0,0.0,0.7818181818181819,38.40425531914894,0.6170212765957447,0.2127659574468085,3.3240997229916895,43.767313019390585,0.0,1.6620498614958448,-0.2650404369671178,-0.1541304894926007,1.253991221691425
SUNY || 2013,SUNY,2013,1988.0,1,NY,0.0,0.0,1.0,,0.0,1.0,Public R2,Y,N,47.0,1805.0,0.4663337900372341,0.497565517,0.2553191489361702,0.40425531914893614,0.3404255319148936,4.43213296398892,22.1606648199446,0.0,0.0,0.0,0.7818181818181819,38.40425531914894,0.6170212765957447,0.2127659574468085,3.3240997229916895,43.767313019390585,0.0,1.6620498614958448,-0.2650404369671178,-0.1541304894926007,1.253991221691425
SUNY || 2014,SUNY,2014,1988.0,1,NY,0.0,0.0,1.0,,0.0,1.0,Public R2,Y,N,47.0,1805.0,0.4663337900372341,0.497565517,0.2553191489361702,0.40425531914893614,0.3404255319148936,4.43213296398892,22.1606648199446,0.0,0.0,0.0,0.7818181818181819,38.40425531914894,0.6170212765957447,0.2127659574468085,3.3240997229916895,43.767313019390585,0.0,1.6620498614958448,-0.2650404369671178,-0.1541304894926007,1.253991221691425
SUNY || 2015,SUNY,2015,1988.0,1,NY,0.0,0.0,1.0,,0.0,1.0,Public R2,Y,N,47.0,1805.0,0.4663337900372341,0.497565517,0.2553191489361702,0.40425531914893614,0.3404255319148936,4.43213296398892,22.1606648199446,0.0,0.0,0.0,0.7818181818181819,38.40425531914894,0.6170212765957447,0.2127659574468085,3.3240997229916895,43.767313019390585,0.0,1.6620498614958448,-0.2650404369671178,-0.1541304894926007,1.253991221691425
SUNY || 2016,SUNY,2016,2016.0,0,NY,0.0,0.0,1.0,,0.0,1.0,Public R2,Y,N,253.0,9092.0,0.5414159237237155,0.500341048,0.31225296442687744,0.45454545454545453,0.233201581027668,5.279366476022877,13.198416190057193,0.0,0.10998680158380995,0.5499340079190497,0.5906735751295337,35.93675889328063,0.5019762845849802,0.14624505928853754,2.1997360316761987,26.286845578530578,0.0,5.169379674439067,0.38421423368261864,-0.08342279390466963,0.23821896013643204
SUNY || 2017,SUNY,2017,2017.0,0,NY,0.0,0.0,1.0,,0.0,1.0,Public R2,Y,N,9.0,459.0,0.3911230855,0.49857497,0.0,0.7777777777777778,0.2222222222222222,0.0,10.893246187363834,0.0,2.1786492374727673,0.0,1.0,51.0,0.5555555555555556,0.2222222222222222,8.71459694989107,41.394335511982575,0.0,2.1786492374727673,-0.31444880127201325,-0.4677185914634268,3.245337068971833
SUNY || 2018,SUNY,2018,2017.0,1,NY,0.0,0.0,1.0,,0.0,1.0,Public R2,Y,N,9.0,459.0,0.3911230855,0.49857497,0.0,0.7777777777777778,0.2222222222222222,0.0,10.893246187363834,0.0,2.1786492374727673,0.0,1.0,51.0,0.5555555555555556,0.2222222222222222,8.71459694989107,41.394335511982575,0.0,2.1786492374727673,-0.31444880127201325,-0.4677185914634268,3.245337068971833
SUNY || 2019,SUNY,2019,2017.0,1,NY,0.0,0.0,1.0,,0.0,1.0,Public R2,Y,N,9.0,459.0,0.3911230855,0.49857497,0.0,0.7777777777777778,0.2222222222222222,0.0,10.893246187363834,0.0,2.1786492374727673,0.0,1.0,51.0,0.5555555555555556,0.2222222222222222,8.71459694989107,41.394335511982575,0.0,2.1786492374727673,-0.31444880127201325,-0.4677185914634268,3.245337068971833
